ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
GTM,3936,4167,4902,5439,5907,6888,6684,7123,8882,8851,9900,10446,11271,11063,11769,12463,12409,13229,13256,14398,13686,13650,13718,13762,GTM,0.443,0.458,0.526,0.571,0.605,0.690,0.654,0.682,0.831,0.809,0.884,0.910,0.958,0.917,0.952,0.983,0.955,0.993,0.971,1.029,0.954,0.928,0.910,0.890,GTM,61.18,61.31,64.27,61.43,67.56,71.34,77.30,74.41,61.13,53.34,43.86,48.11,48.64,41.31,39.80,42.71,43.51,42.79,43.87,51.33,55.37,57.73,65.38,61.19,GTM,14907.36,19535.94,70005.69,41739.12,30327.55,30950.25,31515.45,GTM,1.68,1.96,6.25,3.29,2.11,2.1,2.09
GIN,1283,1056,970,1001,1023,1065,1066,1103,1108,1123,1172,1229,1165,1238,1208,1263,1238,1288,1327,1352,1389,1536,1555,1633,GIN,0.213,0.166,0.144,0.140,0.136,0.136,0.132,0.133,0.131,0.131,0.134,0.138,0.129,0.134,0.129,0.132,0.126,0.128,0.129,0.128,0.128,0.138,0.136,0.139,GIN,86.95,90.28,89.34,89.09,86.90,85.05,102.83,98.54,87.93,73.61,76.27,71.34,64.71,83.57,82.00,101.22,87.23,106.14,83.25,76.67,77.67,76.39,76.50,74.68,GIN,65170.67,62537.28,84360.14,81922.61,100274.04,100814.39,101348.99,GIN,10.83,7.98,9.65,8.55,9.22,9.03,8.85
GNB,220,229,207,226,226,234,238,244,238,243,254,247,238,259,250,265,263,280,291,299,308,323,336,348,GNB,0.216,0.220,0.195,0.207,0.203,0.205,0.204,0.205,0.195,0.195,0.200,0.189,0.179,0.190,0.180,0.186,0.181,0.189,0.192,0.193,0.194,0.199,0.202,0.204,GNB,32.07,32.35,32.84,33.77,33.60,32.82,36.53,36.59,47.93,43.67,43.38,53.02,56.50,50.12,50.53,110.83,112.41,122.94,124.05,108.81,114.56,108.75,114.43,116.08,GNB,1628.81,1701.07,6791.44,5582.04,7536.36,7571.18,7604.73,GNB,1.6,1.49,5.33,3.93,4.75,4.66,4.57
GUY,689,799,925,1000,1026,912,972,894,1224,1391,1433,1461,1541,1485,1543,1566,1553,1629,1654,1683,1712,1785,1826,1825,GUY,0.951,1.105,1.279,1.382,1.413,1.253,1.330,1.218,1.659,1.878,1.925,1.954,2.053,1.970,2.039,2.058,2.030,2.115,2.132,2.155,2.178,2.257,2.296,2.283,GUY,586.68,478.15,584.22,458.06,465.08,428.14,361.86,350.46,732.50,568.51,628.70,683.81,499.45,435.45,420.60,300.67,181.96,174.03,197.79,221.49,229.62,223.30,189.43,191.67,GUY,16735.46,16107.04,4405.23,4917.33,5937.29,6042.58,6140.69,GUY,23.08,22.12,5.92,6.46,7.55,7.64,7.72
HTI,1135,1111,1036,879,412,1126,1278,1500,1523,1575,1609,1730,1977,1887,2144,2231,2276,2572,2355,2343,1999,1998,1999,1993,HTI,0.160,0.153,0.140,0.117,0.054,0.144,0.160,0.184,0.184,0.187,0.188,0.198,0.223,0.210,0.235,0.241,0.242,0.270,0.244,0.240,0.202,0.199,0.196,0.193,HTI,37.22,40.42,40.43,55.60,61.04,72.50,64.92,61.48,52.44,60.08,65.87,68.75,71.58,66.58,69.12,78.26,78.13,74.23,72.06,65.18,58.52,26.01,69.06,75.16,HTI,5356.99,5951.29,7179.1,8059.94,8545.17,8695.43,8835.47,HTI,0.75,0.76,0.84,0.87,0.86,0.87,0.87
HND,2332,2365,2671,2811,3191,4162,4025,4152,4810,4895,4920,5170,5433,5931,6482,6516,6376,8744,8619,8035,8054,8317,8329,8351,HND,0.476,0.469,0.516,0.528,0.585,0.744,0.703,0.709,0.804,0.801,0.789,0.812,0.836,0.895,0.959,0.945,0.906,1.218,1.177,1.076,1.057,1.069,1.050,1.031,HND,89.20,84.15,86.20,85.32,94.15,91.20,93.30,91.90,85.63,85.30,93.31,93.19,80.62,78.42,74.20,82.89,85.85,75.59,73.55,85.14,86.37,94.42,118.58,111.82,HND,13722.12,16822.76,21929.62,23206.91,19663.72,20084.14,20467.16,HND,2.8,3.01,3.52,3.36,2.58,2.58,2.58
HKG,34946,37821,42255,44690,38182,37913,36866,34208,42741,45587,41930,43135,41830,44514,42622,43041,43952,45560,48369,51695,47305,51191,49824,52047,HKG,6.031,6.459,7.148,7.486,6.317,6.170,5.875,5.320,6.484,6.771,6.134,6.258,6.052,6.445,6.180,6.241,6.360,6.570,6.942,7.378,6.710,7.214,6.970,7.225,HKG,64.62,70.11,65.33,71.45,78.15,81.33,72.67,72.08,83.82,87.81,92.70,100.33,102.76,113.47,104.34,117.51,114.45,109.96,116.53,133.47,132.21,107.80,105.41,99.58,HKG,37253.71,40640.86,45292.88,46413.31,55049.4,56946.39,58633.52,HKG,6.43,6.61,6.63,6.73,7.81,8.02,8.2
HUN,75176,70653,64011,63649,62592,62431,63339,61529,61305,61771,58448,59360,58705,61061,59070,59146,59169,57516,57597,52443,53184,51282,49997,46967,HUN,7.239,6.813,6.176,6.141,6.041,6.031,6.129,5.967,5.962,6.025,5.717,5.822,5.773,6.020,5.838,5.858,5.872,5.717,5.733,5.228,5.311,5.130,5.012,4.718,HUN,420.61,492.70,520.18,549.75,558.89,600.06,590.95,568.36,541.20,522.33,479.65,471.97,445.20,422.03,401.61,368.97,347.35,324.73,302.49,294.04,288.75,280.06,284.07,285.06,HUN,97552.24,77421.42,75482.06,75543.76,66250.77,64385,62988.4,HUN,9.39,7.48,7.38,7.48,6.62,6.44,6.31
ISL,2352,2308,2315,2425,2540,2460,2738,2640,2717,2764,2853,2958,3100,3073,3154,3107,3241,3487,3932,4190,4380,4530,4525,4669,ISL,9.231,8.969,8.908,9.244,9.588,9.197,10.137,9.676,9.860,9.930,10.144,10.415,10.805,10.599,10.760,10.472,10.779,11.435,12.707,13.352,13.772,14.065,13.885,14.168,ISL,349.46,343.06,333.27,331.45,329.75,338.73,334.96,295.23,267.03,217.87,213.03,227.78,215.61,211.19,195.48,196.85,187.83,179.60,174.18,186.94,204.23,208.33,198.86,214.34,ISL,21761.02,20878.68,4122.34,3980.63,5390.98,5530.26,5514.85,ISL,85.39,78.06,14.66,13.41,16.95,17.17,16.92
IND,659307,701226,736234,763815,808766,866195,914754,955788,967362,1033408,1059135,1075399,1119240,1150671,1240251,1286982,1380346,1476591,1561635,1686860,1776373,1821715,1983435,2071514,IND,0.759,0.791,0.815,0.829,0.862,0.906,0.940,0.965,0.960,1.008,1.016,1.015,1.040,1.052,1.117,1.142,1.207,1.274,1.329,1.417,1.473,1.492,1.604,1.654,IND,152.72,162.35,164.17,167.38,159.92,146.71,146.64,146.64,152.85,150.35,154.18,158.81,160.71,160.77,149.43,154.82,150.91,146.52,149.99,145.17,136.60,135.63,138.69,139.47,IND,1387371.82,1651503.01,1885189,2117460.59,2771456.76,2828845.83,3002894.93,IND,1.6,1.73,1.81,1.88,2.3,2.32,2.43
IDN,158403,172963,177244,194314,203484,214039,232340,261925,255620,279637,294453,315418,322269,331687,349429,359539,375170,399205,406938,418523,451480,470461,476455,487283,IDN,0.887,0.951,0.959,1.033,1.065,1.103,1.179,1.309,1.259,1.358,1.409,1.488,1.499,1.520,1.579,1.602,1.648,1.728,1.737,1.762,1.876,1.930,1.930,1.950,IDN,53.49,54.65,53.01,52.76,65.57,70.35,70.53,68.48,83.68,83.99,79.48,78.65,78.15,79.59,76.03,80.62,79.81,96.61,99.51,97.46,100.59,98.92,97.91,100.48,IDN,1165113.41,1315570.67,622464.65,1171042.59,744790.02,763553.16,780550.76,IDN,6.52,6.78,2.98,5.22,3.09,3.13,3.16
IRN,204880,226472,241966,241134,272087,276765,289137,302810,309272,323004,341971,353284,371924,394996,425217,446251,484105,511050,373595,382617,385480,397055,399434,407363,IRN,3.635,3.941,4.150,4.088,4.560,4.577,4.706,4.842,4.854,4.980,5.188,5.284,5.492,5.763,6.132,6.361,6.821,7.117,5.142,5.203,5.177,5.264,5.227,5.260,IRN,235.09,224.01,220.95,255.31,270.32,254.76,223.30,183.78,173.90,208.79,224.71,213.88,211.79,184.60,175.08,178.51,180.03,193.94,213.15,219.10,206.20,225.89,223.08,247.40,IRN,283712.89,370387.94,448089.45,576650.65,529830.35,545075.01,551144.13,IRN,5.03,6.13,6.8,8.22,7.12,7.23,7.21
IRQ,70448,52610,60601,75358,85154,85981,77553,78691,81402,83751,96532,104852,100759,84981,100008,99834,103847,104453,110838,132586,158613,173482,181230,184042,IRQ,4.022,2.921,3.267,3.941,4.316,4.222,3.690,3.627,3.636,3.627,4.056,4.277,3.992,3.274,3.749,3.647,3.700,3.634,3.766,4.396,5.123,5.449,5.529,5.451,IRQ,162.42,167.05,177.25,210.86,192.36,206.67,252.83,227.06,172.89,189.46,178.52,189.83,227.11,356.63,225.87,232.34,229.16,215.16,150.72,164.08,190.87,196.64,181.90,157.83,IRQ,99866.44,107285.1,124402.47,124611.7,146903.73,151457.06,155529.51,IRQ,5.7,5.27,5.23,4.55,4.74,4.76,4.74
IRL,32582,33104,33073,33064,34310,34847,36691,37824,40571,41873,43427,45916,45122,44270,44788,46476,47916,46838,47191,42688,42690,38275,39512,39593,IRL,9.227,9.358,9.318,9.272,9.566,9.650,10.084,10.307,10.946,11.164,11.417,11.877,11.464,11.038,10.962,11.178,11.338,10.917,10.844,9.679,9.556,8.463,8.635,8.557,IRL,306.61,325.40,294.28,294.35,297.24,269.50,288.34,248.23,225.49,200.59,178.34,169.62,169.72,169.23,163.26,158.03,154.89,153.47,159.38,170.08,171.87,174.56,177.01,187.01,IRL,65583.19,68374.02,68143.29,70080.71,65591.25,61268.1,62433.01,IRL,18.57,18.94,17.91,16.85,14.68,13.55,13.64
ISR,34886,35565,38101,41806,44793,47882,50940,52913,53470,54784,59117,59213,62715,64670,63379,63897,65697,68895,67062,66548,70850,70196,74024,69753,ISR,7.754,7.662,7.926,8.385,8.674,8.981,9.285,9.398,9.276,9.299,9.830,9.660,10.052,10.186,9.798,9.676,9.720,9.941,9.436,9.149,9.548,9.307,9.684,9.020,ISR,183.16,174.85,173.51,164.41,160.36,160.37,154.89,149.01,149.12,152.35,144.11,149.77,161.16,173.68,167.55,182.30,179.87,174.06,169.89,179.76,186.66,191.25,197.81,203.70,ISR,39609.33,53255.2,65619.39,71353.03,79072.44,81703.91,84044.43,ISR,8.8,9.99,10.91,10.81,10.66,10.83,10.99
ITA,425190,423389,422310,415186,412821,436908,422610,423336,428044,433961,460034,457218,466785,482406,481653,484447,488489,471728,456042,408702,417487,411482,412360,389675,ITA,7.482,7.447,7.423,7.292,7.247,7.669,7.422,7.442,7.529,7.630,8.073,7.993,8.118,8.336,8.266,8.257,8.269,7.930,7.617,6.787,6.900,6.776,6.773,6.389,ITA,218.03,215.92,204.10,221.73,212.06,210.60,217.25,214.69,205.91,198.76,190.19,189.82,189.59,190.38,188.73,199.63,204.47,197.39,198.85,209.87,202.84,200.78,217.65,214.50,ITA,508764.94,518470.76,547349.86,564114.95,489460.13,482619.04,482634,ITA,8.95,9.1,9.6,9.61,8.09,7.95,7.93
JAM,7524,7486,8276,8432,8508,8806,9185,9401,9900,10166,10294,10322,10418,10929,11352,11226,12391,13276,11758,9959,9585,10111,10121,10063,JAM,3.181,3.144,3.450,3.486,3.487,3.577,3.696,3.746,3.907,3.973,3.987,3.963,3.966,4.129,4.258,4.185,4.596,4.902,4.325,3.648,3.496,3.671,3.655,3.615,JAM,264.83,245.36,229.39,174.45,188.77,188.38,188.63,177.04,180.55,153.68,152.28,141.69,125.56,114.16,112.80,123.46,152.73,172.99,173.24,199.07,205.05,203.58,209.89,217.40,JAM,9319.22,10886.33,12364.43,13314.89,14581.68,15053.51,15474.32,JAM,3.94,4.42,4.79,4.96,5.32,5.46,5.59
JPN,1162525,1173729,1179961,1176793,1231407,1248952,1261807,1255942,1224308,1261523,1276459,1260433,1300315,1304940,1305117,1314836,1297584,1329642,1252164,1179669,1236854,1284353,1368229,1360570,JPN,9.509,9.566,9.579,9.516,9.923,10.033,10.111,10.044,9.774,10.053,10.154,10.006,10.300,10.314,10.295,10.355,10.206,10.449,9.835,9.263,9.712,10.088,10.752,10.701,JPN,270.69,262.14,246.49,254.02,258.47,253.77,253.88,244.11,242.88,233.11,228.55,243.99,237.55,232.89,227.67,242.25,244.84,258.14,263.37,280.26,267.08,280.75,280.69,279.28,JPN,1304676.03,1421640.91,1406194.59,1439905.16,1350427.91,1396767.26,1478858.88,JPN,10.67,11.42,11.19,11.34,10.6,10.97,11.62
JOR,10104,10128,12029,12499,13075,13799,14323,14704,14934,14974,15586,15675,16700,16477,18493,19748,20095,21003,21413,22382,21855,22941,24528,25205,JOR,3.008,2.862,3.214,3.160,3.148,3.194,3.218,3.230,3.225,3.186,3.269,3.242,3.406,3.306,3.632,3.769,3.702,3.714,3.622,3.621,3.386,3.408,3.499,3.465,JOR,90.00,92.89,88.86,102.47,101.91,114.37,116.40,142.25,167.19,180.79,194.01,207.34,205.32,212.21,201.94,184.15,173.17,171.85,160.64,180.89,183.66,187.32,192.60,194.41,JOR,11599.32,15834.06,17799.02,22339.73,25590.05,26440.77,27198.59,JOR,3.45,3.67,3.73,4.26,3.96,3.93,3.88
KAZ,255684,264067,268547,229645,204586,181119,158436,137965,141218,128753,139687,143116,152820,167490,183326,191703,213431,218443,227613,196836,231997,232312,247376,253061,KAZ,15.810,16.346,16.711,14.416,12.989,11.648,10.338,9.145,9.504,8.771,9.584,9.830,10.451,11.357,12.302,12.726,14.016,14.188,14.620,12.503,14.572,14.431,15.203,15.392,KAZ,533.89,659.41,646.32,797.76,889.58,1035.57,989.25,1001.20,904.39,891.53,827.06,739.82,667.33,633.37,614.36,575.76,518.09,896.48,896.30,900.69,717.82,594.87,501.56,413.91,KAZ,372290.94,247266.95,207395.42,291641.05,347356.08,350475.73,366502.2,KAZ,23.02,15.9,14.23,19.36,21.82,21.77,22.52
KEN,7333,6974,7282,7621,8015,8184,8758,8487,8850,9243,9674,9387,8595,7998,8850,10310,11404,11736,11706,12510,13158,13297,13927,14647,KEN,0.313,0.288,0.291,0.295,0.301,0.298,0.311,0.293,0.298,0.303,0.309,0.292,0.260,0.236,0.254,0.288,0.310,0.311,0.302,0.314,0.322,0.316,0.323,0.330,KEN,103.15,101.47,104.00,116.85,119.52,117.09,111.62,118.68,114.24,102.34,94.46,103.51,105.43,112.81,107.97,104.09,103.66,95.11,89.08,90.55,89.56,90.21,88.09,90.05,KEN,38943.13,41798.48,46237.25,48661.63,52675.1,53513.99,54302.1,KEN,1.66,1.52,1.48,1.36,1.29,1.27,1.26
KIR,23,27,24,24,22,22,24,25,24,25,26,27,28,27,28,27,26,33,33,36,38,40,41,41,KIR,0.322,0.373,0.320,0.317,0.286,0.288,0.304,0.315,0.298,0.304,0.320,0.324,0.323,0.312,0.320,0.294,0.285,0.349,0.351,0.369,0.386,0.404,0.405,0.402,KIR,70.71,87.78,77.84,71.05,93.58,84.73,89.53,141.32,308.84,184.42,177.57,128.92,159.25,117.88,114.29,148.59,143.11,137.37,157.85,138.46,139.51,124.20,123.17,128.26,KIR,39.78,40.16,42.7,44.62,55.22,56.7,58.04,KIR,0.56,0.53,0.52,0.49,0.56,0.57,0.58
PRK,129111,123641,109604,101447,92996,87182,77320,74873,62301,68173,73395,76345,73122,74679,76276,79571,80949,67520,73542,70252,67680,68677,70109,72050,PRK,6.393,6.028,5.260,4.793,4.330,4.006,3.512,3.366,2.776,3.011,3.213,3.313,3.145,3.185,3.227,3.341,3.377,2.800,3.033,2.883,2.762,2.788,2.831,2.894,PRK,1289.79,1416.11,1603.13,1773.19,1904.37,2119.34,2360.54,2678.16,2779.96,2901.51,3008.41,3182.74,3246.53,3131.62,3086.64,2982.98,2961.27,2861.52,2804.83,2397.58,2219.14,2034.27,1907.10,1691.36,PRK,162999.45,111920.31,97813.67,106557.19,104116.6,107165.32,109894.96,PRK,8.07,5.14,4.28,4.47,4.25,4.35,4.44
KOR,252500,279850,304113,333785,365589,399037,428221,451346,388602,424170,448394,461592,475995,489538,505979,504067,509341,519274,539967,548467,591149,614928,618524,626648,KOR,5.876,6.453,6.956,7.578,8.242,8.936,9.529,9.981,8.543,9.273,9.753,9.993,10.260,10.507,10.811,10.717,10.770,10.915,11.280,11.387,12.200,12.618,12.622,12.721,KOR,142.54,136.64,140.77,148.15,155.29,155.23,164.19,158.39,175.63,158.30,155.32,160.77,154.27,156.99,150.98,171.38,172.22,185.14,199.55,215.33,221.92,234.44,250.15,260.70,KOR,300501.33,453629.67,512819.94,561372.54,628838.72,650085.53,668989.65,KOR,6.99,10.16,11.15,11.94,12.98,13.34,13.65
KWT,28676,43995,30665,36363,42984,45522,45024,47519,52186,54077,53341,52428,51937,61720,68778,76868,72237,71774,74610,80006,85985,90147,94837,94775,KWT,13.922,22.002,16.229,20.677,26.087,28.700,28.402,29.046,30.302,29.739,27.983,26.471,25.357,29.164,31.313,33.474,29.881,28.093,27.611,28.071,28.742,28.850,29.176,28.135,KWT,216.02,245.84,359.90,260.99,233.21,243.00,291.52,254.31,235.98,248.66,271.68,254.81,262.99,231.55,210.04,219.57,214.74,109.97,164.64,123.49,149.99,166.79,166.35,165.25,KWT,34951.69,57167.73,65239.57,91416.66,93785.57,96788.19,99467.12,KWT,16.97,36.04,34.22,39.81,31.35,30.98,30.6
KGZ,24051,21573,14171,10289,6697,4898,6098,5965,6325,5024,4943,4115,5245,5869,6216,5701,5566,6245,6609,7845,7507,8140,7869,8018,KGZ,5.473,4.857,3.166,2.283,1.474,1.067,1.309,1.259,1.311,1.026,0.998,0.825,1.048,1.172,1.238,1.131,1.095,1.216,1.272,1.490,1.407,1.506,1.437,1.445,KGZ,658.00,749.88,824.18,996.43,1228.30,1344.30,1220.53,1219.05,985.26,816.83,627.20,493.90,484.28,480.77,472.20,648.83,563.81,1756.37,1453.31,927.89,676.86,415.78,304.37,342.82,KGZ,33283.19,10488.68,9973.96,10852.47,13008.54,13853.67,13794.74,KGZ,7.57,2.28,2.01,2.15,2.44,2.56,2.52
LAO,252,273,314,312,322,354,436,512,560,561,595,615,613,581,597,588,652,755,775,820,881,924,936,970,LAO,0.059,0.062,0.070,0.067,0.068,0.073,0.087,0.101,0.108,0.106,0.110,0.112,0.111,0.103,0.105,0.102,0.111,0.126,0.126,0.131,0.138,0.142,0.141,0.143,LAO,24.52,25.66,24.07,22.02,21.48,19.12,19.31,31.27,22.15,12.54,13.60,11.15,14.17,13.77,12.95,13.66,12.93,12.73,12.75,13.65,12.50,11.93,12.14,13.82,LAO,30128.6,31879.68,24667.95,53444.81,38034.96,161456.98,161718.74,LAO,7.1,6.54,4.58,9.23,5.95,24.76,24.33
LVA,19992,18248,14509,12197,10776,9447,9445,8832,8373,7724,7256,7636,7698,7930,7957,8027,8461,8768,8421,7705,8714,8174,7980,7852,LVA,7.504,6.899,5.556,4.748,4.267,3.797,3.842,3.628,3.468,3.226,3.060,3.256,3.322,3.466,3.525,3.603,3.850,4.046,3.938,3.648,4.168,3.942,3.873,3.829,LVA,1070.69,1280.92,1879.21,2044.13,2091.16,2182.68,2199.87,2098.12,2054.27,1976.98,1901.63,1803.90,1745.65,1671.20,1535.05,1445.21,1300.21,400.65,381.92,370.12,312.20,261.96,218.71,210.04,LVA,33667.77,18783,11507.81,13288.2,14670,14150.1,13943.92,LVA,12.64,7.55,4.85,5.97,7.02,6.82,6.77
LBN,6891,8572,8875,11362,12323,14174,15218,16760,16765,16679,15323,16596,16430,18678,17103,17758,15208,13397,16537,17206,16803,17075,17786,18274,LBN,2.549,3.114,3.145,3.917,4.143,4.673,4.955,5.419,5.384,5.284,4.736,4.943,4.674,5.062,4.438,4.454,3.728,3.236,3.951,4.051,3.871,3.813,3.827,3.790,LBN,357.76,260.54,222.28,195.81,162.82,178.06,192.04,196.91,194.09,162.50,186.72,174.91,192.18,187.72,174.61,134.74,138.81,126.84,144.63,135.76,160.93,171.12,192.58,204.93,LBN,7963.19,15558.42,16825.66,19431.45,19139.27,19791.5,20371.97,LBN,2.95,5.13,5.2,4.87,4.41,4.42,4.38
LSO,136,138,127,127,132,140,138,143,145,151,181,180,165,174,166,175,172,184,190,195,200,210,218,226,LSO,0.085,0.085,0.076,0.075,0.077,0.080,0.078,0.079,0.079,0.082,0.097,0.096,0.087,0.092,0.087,0.091,0.089,0.094,0.096,0.098,0.100,0.103,0.106,0.109,LSO,43.92,44.65,43.82,44.26,45.22,44.95,50.39,46.97,41.62,38.59,37.58,35.21,37.16,38.39,37.56,29.57,38.63,35.44,34.21,30.28,28.31,28.70,28.62,26.63,LSO,1882.43,1938.44,3230.58,3703.9,3425.28,3449.41,3472.71,LSO,1.18,1.11,1.74,1.92,1.71,1.7,1.69
LBR,489,289,264,291,286,300,313,324,331,341,379,407,409,435,464,486,472,502,519,528,545,577,624,657,LBR,0.233,0.140,0.130,0.145,0.142,0.144,0.142,0.137,0.130,0.124,0.131,0.136,0.133,0.139,0.146,0.149,0.140,0.142,0.141,0.138,0.138,0.141,0.149,0.153,LBR,1082.53,1340.64,2125.88,3326.75,4410.20,4711.20,5310.37,2689.66,1760.87,1279.94,1061.48,772.34,598.87,720.38,758.32,787.90,519.96,250.51,133.87,107.49,106.96,96.30,91.54,85.71,LBR,1752.53,1428.1,2076.32,2082.7,2758.55,2797.37,2833.94,LBR,0.83,0.69,0.72,0.64,0.7,0.69,0.68
LBY,42651,42205,38512,39227,44212,47470,49180,47100,47495,45432,48489,48471,49470,52662,52320,51929,52182,51877,54491,56858,58887,35356,36492,37658,LBY,10.012,9.681,8.637,8.606,9.499,9.999,10.167,9.565,9.481,8.921,9.368,9.217,9.263,9.712,9.501,9.282,9.177,8.972,9.272,9.533,9.749,5.793,5.929,6.072,LBY,207.27,158.51,162.00,189.91,210.08,218.19,268.03,297.68,269.58,296.39,281.81,307.81,300.59,297.84,269.68,270.10,261.71,259.65,247.53,221.22,214.59,637.77,334.88,382.81,LBY,61074.15,65215.47,63666.89,69931.74,77780.09,80072.82,82129.13,LBY,14.34,13.74,12.3,12.5,12.88,13.12,13.34
LTU,35069,37009,20909,16237,15628,14905,15363,14926,15752,13154,11484,12281,12381,12333,12717,13416,13831,14770,15711,14467,15841,18418,18601,17848,LTU,9.485,10.006,5.667,4.422,4.281,4.108,4.260,4.165,4.426,3.725,3.282,3.548,3.619,3.651,3.815,4.082,4.270,4.630,4.998,4.664,5.163,6.051,6.144,5.916,LTU,1658.40,1853.84,2171.60,2700.53,3104.64,3120.00,3076.23,2963.86,2780.15,2835.99,2793.15,2672.79,2544.35,2340.02,2181.44,2089.94,1944.34,484.64,496.91,329.28,252.35,229.14,210.73,210.37,LTU,54344.53,29219.71,21257.13,23569.41,26786.48,29324.69,29442.21,LTU,14.7,8.05,6.08,7.17,8.73,9.63,9.72
LUX,11718,12183,11883,12093,11251,8991,9072,8559,7864,8207,8779,9104,9998,10488,11596,11834,11848,11365,10949,10440,11177,11084,10822,10833,LUX,30.693,31.533,30.359,30.476,27.957,22.029,21.914,20.378,18.466,19.030,20.131,20.685,22.542,23.464,25.680,25.847,25.412,23.861,22.468,20.960,22.007,21.467,20.664,20.424,LUX,850.29,724.14,566.07,579.14,530.28,571.23,529.53,470.28,375.72,324.89,281.18,299.25,292.14,280.67,270.62,255.43,261.78,250.63,262.49,271.09,267.59,244.30,195.57,193.21,LUX,13101.98,10728.91,10268.36,13445.82,13034.82,12929.54,12611,LUX,34.32,26.29,23.55,29.37,25.66,25.04,24.08
MAC,922,901,948,1059,1116,1072,1240,1316,1457,1556,1162,1215,1089,1050,1210,1217,1189,1263,1333,1269,1229,1306,1328,1340,MAC,2.563,2.439,2.509,2.751,2.848,2.690,3.060,3.195,3.478,3.657,2.690,2.773,2.451,2.331,2.638,2.600,2.479,2.561,2.626,2.433,2.298,2.391,2.385,2.366,MAC,28.21,28.06,24.57,22.98,20.94,16.70,17.40,28.01,28.92,31.70,43.48,29.16,29.79,31.89,25.14,27.81,25.21,23.42,22.14,22.90,20.07,17.43,15.34,15.86,MAC,1016.22,1186.79,1287.2,1354.58,1573.86,1626.74,1673.84,MAC,2.82,2.98,2.98,2.89,2.94,2.98,3.01
MKD,11781,10490,9361,9562,9306,9309,10471,9455,10255,9413,9053,9155,8633,9001,9099,9502,9469,9863,9597,9647,9733,10807,10122,10264,MKD,5.862,5.232,4.697,4.831,4.727,4.733,5.301,4.747,5.094,4.627,4.412,4.433,4.162,4.326,4.363,4.546,4.522,4.704,4.573,4.593,4.630,5.137,4.807,4.871,MKD,508.02,552.64,486.76,553.42,577.61,506.74,577.56,515.30,673.12,560.77,487.31,582.24,608.46,608.79,594.28,477.31,529.03,526.39,446.59,402.24,399.28,378.04,379.67,414.23,MKD,14328.51,11579.55,11607.05,11591.6,12257.54,12645.71,12992.25,MKD,7.13,5.89,5.66,5.55,5.83,6.01,6.17
MDG,809,854,831,871,941,1028,1032,1093,1046,1089,1481,1590,1608,1628,1674,1760,1792,1968,2028,2100,2185,2281,2366,2463,MDG,0.070,0.072,0.068,0.069,0.072,0.076,0.074,0.076,0.071,0.071,0.094,0.098,0.096,0.094,0.094,0.096,0.095,0.102,0.102,0.102,0.104,0.105,0.106,0.107,MDG,37.68,41.99,43.15,44.44,47.51,47.38,54.71,54.38,41.63,33.79,43.25,39.55,48.24,32.09,30.66,49.95,33.10,28.28,27.84,28.24,29.71,31.76,33.92,33.34,MDG,48353.25,46520.6,84187.24,159818.56,117231.04,117586.22,117932.6,MDG,4.19,3.46,5.35,8.74,5.56,5.42,5.29
MWI,499,627,584,566,562,624,632,688,653,705,674,678,761,771,792,824,825,876,888,893,916,957,975,1015,MWI,0.053,0.065,0.060,0.058,0.057,0.063,0.062,0.066,0.061,0.064,0.060,0.058,0.064,0.063,0.063,0.064,0.062,0.064,0.063,0.061,0.061,0.062,0.061,0.062,MWI,63.41,58.40,70.95,71.49,88.14,80.46,82.37,75.71,70.80,61.76,52.70,52.39,54.62,52.53,51.24,52.33,62.14,56.73,65.76,56.22,51.11,48.64,52.99,51.15,MWI,8537.09,8132.45,15450.39,20503.21,21415.54,21525.76,21632.13,MWI,0.9,0.82,1.36,1.59,1.43,1.39,1.36
