ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
BOL,6476,7146,7661,8658,10115,9637,9384,10110,9795,9434,8759,9641,8645,9092,9850,10591,10804,12164,12347,12952,14231,15537,16795,17649,BOL,0.953,1.027,1.075,1.187,1.355,1.262,1.202,1.267,1.202,1.134,1.031,1.112,0.978,1.008,1.072,1.132,1.135,1.257,1.256,1.296,1.401,1.505,1.600,1.654,BOL,144.66,134.43,152.22,163.04,153.80,165.65,149.59,143.53,143.03,151.74,150.64,136.79,130.87,126.70,122.05,125.59,138.14,137.98,143.44,148.78,161.48,179.38,162.49,148.19,BOL,192645.7,170371.97,91400.93,309458.39,102900.52,620981.96,621726.73,BOL,28.36,22.31,10.76,33.08,10.13,60.15,59.23
BIH,24502,21897,16176,13604,3507,3731,4595,8919,11236,11086,13966,14238,13572,13366,15952,16551,18269,19143,19351,25189,25576,28826,27152,27526,BIH,5.413,5.007,3.904,3.504,0.958,1.060,1.318,2.522,3.086,2.955,3.642,3.670,3.482,3.431,4.104,4.266,4.714,4.948,5.012,6.537,6.650,7.508,7.082,7.188,BIH,3482.17,3787.14,3029.38,2710.30,2937.92,2504.95,1298.06,1158.73,685.75,767.17,847.40,768.10,773.28,716.29,675.00,747.90,650.33,721.72,611.82,465.50,388.76,98.95,106.01,130.08,BIH,31318.6,6576.49,22492.91,20780.36,25619.33,26405.84,27108.4,BIH,6.92,1.87,5.87,5.36,6.66,6.88,7.07
BWA,1505,1579,1658,1552,1729,1779,1607,1787,2923,2971,2846,2819,2982,2840,3897,4103,4257,4864,4504,4282,4553,4204,4223,4324,BWA,1.087,1.108,1.132,1.031,1.119,1.124,0.991,1.078,1.727,1.722,1.621,1.580,1.648,1.550,2.101,2.187,2.245,2.539,2.329,2.194,2.312,2.116,2.108,2.140,BWA,46.65,43.10,49.78,64.92,72.26,74.25,74.72,51.30,46.90,39.39,38.96,38.77,47.44,50.98,49.66,59.73,61.86,59.80,60.39,68.82,59.33,62.22,61.43,52.39,BWA,13373.08,12153,39682.5,24188.46,81652.26,81891.04,82110.28,BWA,9.66,7.67,22.61,12.89,41.46,41.22,40.98
BRA,218605,226960,230196,239076,248443,267391,289619,307221,316170,325641,345279,349773,348595,341745,362514,365374,373163,390616,410184,383855,435385,456588,481939,511982,BRA,1.461,1.492,1.489,1.523,1.558,1.652,1.762,1.840,1.866,1.893,1.979,1.976,1.943,1.880,1.970,1.963,1.983,2.056,2.139,1.984,2.230,2.318,2.426,2.555,BRA,88.70,93.99,100.11,106.10,105.01,108.39,113.14,108.72,101.55,100.83,91.44,91.65,94.50,103.55,98.06,99.30,96.77,89.89,88.73,90.30,87.21,88.22,93.97,99.31,BRA,1606209.33,1574445.63,1222630.43,2386439.68,2902242.62,2953040.52,2989417.96,BRA,10.73,9.73,7.01,12.82,14.87,14.99,15.05
BRN,3450,3812,4019,4210,4554,4888,5091,5627,5006,4915,5272,5272,5173,5905,5585,5487,8029,7987,8394,9221,9453,9947,10473,10609,BRN,13.429,14.423,14.781,15.054,15.848,16.569,16.830,18.157,15.780,15.146,15.889,15.547,14.932,16.697,15.479,14.917,21.428,20.938,21.633,23.380,23.598,24.468,25.404,25.394,BRN,120.39,122.73,121.51,140.69,139.98,137.50,122.86,140.54,120.45,126.19,130.32,118.93,114.83,118.48,117.97,120.63,114.86,120.52,135.80,145.75,148.78,155.62,165.45,175.41,BRN,18366.77,21264.68,9649.4,10968.96,14123.6,14494.49,14828.97,BRN,71.49,72.08,29.08,29.82,35.26,35.66,35.97
BGR,82919,62593,59613,59602,57811,59412,60200,57055,53011,47522,46906,49845,46474,52657,51094,51412,52793,55109,54956,48722,50742,55787,50792,46964,BGR,9.400,7.157,6.889,6.969,6.840,7.108,7.275,6.958,6.519,5.892,5.863,6.282,5.905,6.745,6.597,6.691,6.926,7.287,7.323,6.543,6.867,7.608,6.979,6.502,BGR,840.20,927.19,1069.18,1096.88,1120.25,1169.12,1340.12,1407.60,1282.85,1279.82,1194.17,1122.44,1103.29,1058.49,988.75,930.88,863.86,745.69,530.04,534.18,531.95,506.85,517.78,519.97,BGR,108086.03,81769.92,66195.09,68542.77,67945.31,72946.62,67942.7,BGR,12.25,9.78,8.27,8.92,9.2,9.95,9.34
BFA,511,576,524,592,634,658,714,1126,1021,1057,762,757,689,732,748,791,786,884,919,962,1005,1054,1095,1136,BFA,0.058,0.064,0.056,0.062,0.065,0.065,0.069,0.106,0.093,0.094,0.066,0.063,0.056,0.058,0.057,0.059,0.057,0.062,0.063,0.064,0.065,0.066,0.067,0.067,BFA,35.63,33.87,35.03,36.21,36.20,35.26,37.83,39.63,34.53,32.35,31.88,28.96,27.04,30.62,29.41,33.47,28.63,27.27,29.06,25.68,26.87,27.60,26.15,26.66,BFA,12151.01,14072.24,46470.1,47809.7,43405.91,43660.15,43910.4,BFA,1.38,1.39,4,3.56,2.79,2.73,2.67
BDI,343,376,335,374,387,392,408,410,403,413,304,483,1015,1211,1252,1489,1891,1975,1991,2158,2326,2440,2537,2628,BDI,0.061,0.065,0.057,0.062,0.063,0.063,0.065,0.064,0.062,0.063,0.046,0.071,0.144,0.167,0.167,0.192,0.235,0.237,0.231,0.242,0.252,0.256,0.258,0.259,BDI,17.07,16.69,17.29,19.22,20.40,23.11,28.29,31.99,30.91,30.59,34.33,38.42,38.62,39.66,38.26,57.34,59.64,57.85,60.30,51.99,55.83,55.42,53.97,53.86,BDI,2798.94,2998.94,3398.87,5302.31,6040.98,6152,6254.37,BDI,0.5,0.48,0.51,0.68,0.65,0.64,0.63
KHM,518,530,579,563,531,543,673,743,705,645,818,832,668,659,2950,3158,3275,3686,1322,1353,1449,1525,1546,1554,KHM,0.057,0.056,0.060,0.056,0.051,0.050,0.061,0.065,0.060,0.054,0.067,0.067,0.053,0.051,0.224,0.236,0.242,0.268,0.095,0.096,0.101,0.104,0.104,0.103,KHM,8.31,6.84,6.28,5.79,5.30,3.07,2.64,3.86,6.57,3.87,27.23,24.38,29.18,17.48,15.86,21.06,17.26,16.24,15.56,17.00,15.60,13.74,13.10,15.10,KHM,19521.92,20790.18,42118.31,101252.49,126272.2,126838.76,127399.59,KHM,2.16,1.93,3.45,7.58,8.79,8.68,8.57
CMR,7555,7350,7190,7672,5753,5744,5872,5895,6207,6007,6422,6405,6347,6440,6418,6338,6158,6498,6378,6812,7041,6586,6900,7134,CMR,0.626,0.591,0.562,0.583,0.425,0.412,0.410,0.401,0.411,0.387,0.403,0.392,0.378,0.374,0.363,0.349,0.331,0.340,0.325,0.339,0.341,0.311,0.318,0.321,CMR,45.65,46.96,57.84,57.37,75.90,78.73,80.74,81.39,82.21,82.99,209.66,205.42,188.24,237.21,203.43,101.29,159.97,162.10,152.18,146.13,150.90,108.69,103.75,100.53,CMR,97554.79,90767.15,163101.04,160728,99823.28,100386.55,100922.14,CMR,8.08,6.52,10.24,8.86,4.84,4.75,4.65
